証券コード	業種	会社名	平均年収	従業員数	平均年齢	平均勤続年数	情報公開日
1926	建設業	ライト工業	"6,285,514 "	"1,085 "	43.4 	17.3 	2010/6/29
1928	建設業	積水ハウス	"6,440,685 "	"14,120 "	37.9 	14.1 	2010/4/30
1929	建設業	日特建設	"6,528,433 "	"1,033 "	44.1 	18.7 	2010/6/29
1930	建設業	北陸電気工事	"5,154,564 "	968 	43.5 	21.5 	2010/6/28
1931	建設業	日本電通	"5,092,330 "	540 	43.2 	15.7 	2010/6/29
1932	建設業	コミューチュア	"5,916,302 "	"1,258 "	42.2 	16.2 	2010/6/30
1933	建設業	西日本システム建設	"5,505,904 "	770 	43.1 	18.5 	2010/6/25
1934	建設業	ユアテック	"6,662,595 "	"3,951 "	42.0 	20.1 	2010/6/25
1935	建設業	ＴＴＫ	"5,549,440 "	726 	43.0 	18.6 	2010/6/29
1936	建設業	シーキューブ	"5,813,000 "	647 	44.0 	17.3 	2010/6/25
1937	建設業	西部電気工業	"5,915,230 "	"1,096 "	45.7 	18.7 	2010/6/29
1938	建設業	日本リーテック	"6,525,000 "	"1,082 "	42.8 	14.6 	2010/6/30
1939	建設業	四電工	"6,364,000 "	"2,111 "	42.5 	21.2 	2010/6/30
1940	建設業	つうけん	"5,856,000 "	464 	48.3 	23.2 	2010/6/24
1941	建設業	中電工	"5,893,000 "	"3,931 "	43.6 	23.4 	2010/6/30
1942	建設業	関電工	"7,337,368 "	"6,390 "	40.6 	18.7 	2010/6/29
1943	建設業	大明	"6,458,878 "	"2,016 "	40.3 	13.0 	2010/6/30
1944	建設業	きんでん	"7,858,273 "	"6,854 "	39.5 	19.4 	2010/6/28
1945	建設業	東京エネシス	"7,085,438 "	"1,255 "	43.8 	18.5 	2010/6/29
1946	建設業	トーエネック	"6,693,336 "	"4,949 "	43.0 	22.1 	2010/6/28
1947	上場廃止	日本コムシス	"6,802,533 "	"3,398 "	41.7 	15.7 	2003/6/27
1948	建設業	弘電社	"6,154,212 "	554 	43.7 	17.5 	2010/6/29
1949	建設業	住友電設	"6,926,555 "	"1,245 "	41.0 	16.9 	2010/6/24
1950	建設業	日本電設工業	"6,935,566 "	"2,073 "	42.4 	14.6 	2010/6/25
